Name,Location,Year,Kilometers_Driven,Fuel_type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Seller Comments
2008 Honda Civic 1.8S MT,"Azad Nagar, Mumbai",Aug 2008,"60,000 km",Petrol + CNG,Manual,Second,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 1.8 Lakh, 
2009 Honda Civic 1.8V MT,"A F Hospital, Bangalore",Dec 2009,"1,35,000 km",Petrol,Manual,Third,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 3.5 Lakh, 
2009 Honda Civic 1.8V AT,"Jhalukbari, Guwahati",Nov 2009,"90,000 km",Petrol,Automatic,Second,13.9 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 2.6 Lakh, 
2008 Honda Civic 1.8S MT,"Lullanagar, Pune",Jun 2008,"95,000 km",Petrol,Manual,Second,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 2.5 Lakh, 
2019 Honda Civic VX Diesel [2019-2020],"Karkhana, Hyderabad",Sep 2019,"47,000 km",Diesel,Manual,First,26.8 kmpl,"1597 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",119 bhp @ 4000 rpm,5 Person,₹ 16.85 Lakh, 
2012 Honda Civic 1.8V AT Sunroof,Kolkata,Jun 2012,"44,000 km",Petrol,Automatic,Second,13.9 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 3.93 Lakh, 
2010 Honda Civic 1.8V MT Sunroof,"Galleria DLF-IV, Gurgaon",Dec 2010,"70,000 km",Petrol,Manual,Second,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 3 Lakh, 
2007 Honda Civic 1.8V MT,Gurgaon,Jun 2007,"90,000 km",Petrol + CNG,Manual,4 or More,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 1.8 Lakh, 
2010 Honda Civic 1.8V MT,"Kalyanpuri, Delhi",Oct 2010,"1,13,000 km",Petrol,Manual,Second,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 2 Lakh, 
2008 Honda Civic 1.8V AT,"Coimbatore, Coimbatore",Jun 2008,"1,73,000 km",Petrol,Automatic,Third,13.9 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 3.2 Lakh, 
2008 Honda Civic 1.8V MT,"Matoshree Nagar, Nashik",Feb 2008,"53,000 km",Petrol,Manual,Third,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 2.3 Lakh, 
2007 Honda Civic 1.8V MT,Alandi,Jan 2007,"1,59,000 km",Petrol + CNG,Manual,First,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 3.46 Lakh, 
2011 Honda Civic 1.8V MT Sunroof,Lucknow,Jul 2011,"42,000 km",Petrol,Manual,Third,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 4.5 Lakh, 
2009 Honda Civic 1.8V MT,Ghaziabad,Mar 2009,"72,000 km",Petrol + Petrol,Manual,First,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 1.8 Lakh, 
2008 Honda Civic 1.8V MT,"Pant Nagar, Mumbai",Jan 2008,"75,000 km",Petrol + CNG,Manual,Third,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 3.2 Lakh, 
2009 Honda Civic 1.8E MT,"Gandhi Nagar, Moradabad",Jan 2009,"80,000 km",Petrol,Manual,Second,10.6 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",132@6300,5 Person,₹ 2.5 Lakh, 
2009 Honda Civic 1.8V MT,"Vashi, Navi Mumbai",Dec 2009,"1,56,000 km",Petrol + CNG,Manual,Second,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 3.2 Lakh, 
2010 Honda Civic 1.8V AT,"Hadapsar, Pune",Jul 2010,"74,681 km",Petrol + CNG,Automatic,Second,13.9 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 2.82 Lakh, 
2012 Honda Civic 1.8V MT Sunroof,"Dangui Colony, Mapusa",Jan 2012,"1,05,500 km",Petrol,Manual,First,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 3.5 Lakh, 
2019 Honda Civic ZX CVT Petrol [2019-2020],"Rajkot, Rajkot",Sep 2019,"50,000 km",Petrol + CNG,Automatic (CVT),First,16.5 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",140 bhp @ 6500 rpm,5 Person,₹ 17 Lakh, 
2007 Honda Civic 1.8V MT,"Gaganmahal, Hyderabad",Sep 2007,"1,14,000 km",Petrol + CNG,Manual,4 or More,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 3.5 Lakh, 
2009 Honda Civic 1.8V MT,Anand,Sep 2009,"82,000 km",Petrol + CNG,Manual,Second,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 3.54 Lakh, 
2010 Honda Civic 1.8V AT,Navi Mumbai,Jul 2010,"73,000 km",Petrol,Automatic,Third,13.9 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 3.03 Lakh, 
2010 Honda Civic 1.8V AT,"Santacruz(E), Mumbai",Mar 2010,"38,258 km",Petrol,Automatic,First,13.9 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 2.6 Lakh, 
2010 Honda Civic 1.8V AT,"Ataladara, Vadodara",May 2010,"98,500 km",Petrol,Automatic,Second,13.9 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 4.5 Lakh, 
2007 Honda Civic 1.8S MT,"Chhatarpur, Chhatarpur",Oct 2007,"80,000 km",Petrol,Manual,4 or More,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 2 Lakh, 
2011 Honda Civic 1.8V MT Sunroof,"G. P. O, Indore",Oct 2011,"92,000 km",Petrol,Manual,First,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 3.8 Lakh, 
2009 Honda Civic 1.8V MT,Delhi,Jul 2009,"59,600 km",Petrol + CNG,Manual,Second,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 1.8 Lakh, 
2009 Honda Civic 1.8V MT,"Tilli, Sagar",Jan 2009,"65,000 km",Petrol + LPG,Manual,4 or More,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 1.5 Lakh, 
2006 Honda Civic 1.8S MT,Bangalore,Oct 2006,"1,23,000 km",Petrol + LPG,Manual,Third,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 3.63 Lakh, 
2012 Honda Civic 1.8V MT Sunroof,Ahmedabad,Jan 2012,"43,000 km",Petrol,Manual,First,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 3.1 Lakh, 
2010 Honda Civic 1.8V AT Sunroof,"Varanasi, Varanasi",May 2010,"92,000 km",Petrol,Automatic,Third,13.9 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 3.2 Lakh, 
